Ontology ID	 Label NCBI	Label FoodOn	NCBI parent ID	Ontology Alternative Term	Exact Synonym (FoodOn)	See Also	FDA Common Name [after changes]	FDA SFL Common Name	FDA Acceptable Market Name(s) [after changes]	FDA SFL Acceptable Market Name	NCBI Genbank Common Name [after changes]	ITIS (TSN)	FDA Alternative Term [original]	FDA Acceptable Market Name(s) [original]	NCBI Genbank Common Name [original]	FDA law	NCBI Synonym	terms source | term requested	"term editor	"
NCBITaxon:183654	Scophthalmus aquosus					https://en.wikipedia.org/wiki/Windowpane_flounder	windowpane	FDA SFL Common Name	flounder	FDA SFL Acceptable Market Name		ITIS:172746	windowpane	flounder	windowpane		Pleuronectes aquosus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8204	Anarhichas lupus					https://en.wikipedia.org/wiki/Atlantic_wolffish	atlantic wolffish	FDA SFL Common Name	wolffish	FDA SFL Acceptable Market Name		ITIS:171341	atlantic wolffish	wolffish	atlantic wolffish		Anarhichas orientalis lupus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:72073	Sebastes entomelas					https://en.wikipedia.org/wiki/Widow_rockfish	widow rockfish	FDA SFL Common Name	rockfish	FDA SFL Acceptable Market Name		ITIS:166719	widow rockfish	rockfish	widow rockfish		Sebastichthys entomelas	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8128	Oreochromis niloticus					https://en.wikipedia.org/wiki/Nile_tilapia	nile tilapia	FDA SFL Common Name	tilapia	FDA SFL Acceptable Market Name		ITIS:553310	nile tilapia	tilapia	nile tilapia		Perca nilotica | Oreochromis nilotica | Tilapia nilotica	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8127	Oreochromis mossambicus					https://en.wikipedia.org/wiki/Mozambique_tilapia	mozambique tilapia	FDA SFL Common Name	tilapia	FDA SFL Acceptable Market Name		ITIS:170015	mozambique tilapia	tilapia	mozambique tilapia		Tilapia mossambica | Chromis mossambicus | Chromis (Tilapia) mossambicus | Sarotherodon mossambicus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:1906136	Barbonymus schwanenfeldii					https://en.wikipedia.org/wiki/Tinfoil_barb	tinfoil barb	FDA SFL Common Name	barb	FDA SFL Acceptable Market Name		ITIS:688445	tinfoil barb	barb	tinfoil barb		Barbodes schwanenfeldii | Puntius schwanenfeldii | Barbonymus schwanenfeldii | Puntius schwanefeldii | Barbus schwanenfeldii | Puntius schwanenfeldi	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:8022	Oncorhynchus mykiss					https://en.wikipedia.org/wiki/Rainbow_trout	rainbow trout	FDA SFL Common Name	rainbow trout | steelhead	FDA SFL Acceptable Market Name		ITIS:161989	rainbow trout	trout, rainbow or steelhead	rainbow trout		Salmo mykiss | Oncorhynchus nerka mykiss | Parasalmo mykiss	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:40500	Lutjanus vivanus					https://en.wikipedia.org/wiki/Lutjanus	silk snapper	FDA SFL Common Name	snapper	FDA SFL Acceptable Market Name		ITIS:168861	silk snapper	snapper	silk snapper		Mesoprion vivanus	FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:99346	Scomberomorus sierra					https://en.wikipedia.org/wiki/Pacific_sierra	pacific sierra	FDA SFL Common Name	spanish mackerel	FDA SFL Acceptable Market Name		ITIS:172440	pacific sierra	mackerel, spanish	pacific sierra			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
NCBITaxon:57983	Isurus oxyrinchus					https://en.wikipedia.org/wiki/Shortfin_mako_shark	shortfin mako shark	FDA SFL Common Name	mako shark	FDA SFL Acceptable Market Name		ITIS:159924	shortfin mako shark	shark, mako	shortfin mako shark			FDA Seafood List 2021	https://orcid.org/0000-0001-5275-8866 
