?class	?label	?syn_type
<http://purl.obolibrary.org/obo/CDNO_0100044>	"xylose derived from xyloglucan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100045>	"glucose derived from glucomannan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100046>	"mannose derived from glucomannan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100047>	"arabinose derived from arabinoxylan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100048>	"xylose derived from arabinoxylan derived from hemicellulose"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100049>	"inulin derived from fructan"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100050>	"fructose derived from inulin derived from fructan"@en	"label"
<http://purl.obolibrary.org/obo/CDNO_0100051>	"amino acid derived from protein"@en	"label"
<http://purl.obolibrary.org/obo/CEPH_0000256>	"tentacle"@en	"label"
<http://purl.obolibrary.org/obo/CEPH_0000285>	"aquatic animal ink"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_10223>	"(3'R,6'R)-beta,epsilon-caroten-3'-ol"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_10223>	"alpha-Cryptoxanthin"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_10223>	"alpha-cryptoxanthin"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_10223>	"alpha-cryptoxanthin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_10223>	"alpha-cryptoxanthin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_10362>	"(3R)-beta,beta-caroten-3-ol"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_10362>	"beta-Cryptoxanthin"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_10362>	"beta-cryptoxanthin"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_10362>	"beta-cryptoxanthin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_10362>	"beta-cryptoxanthin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_10607>	"n-propyl gallate"	"label"
<http://purl.obolibrary.org/obo/CHEBI_10607>	"propyl gallate"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_108>	"(-)-phaseolin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_108>	"(6bR,12bR)-3,3-dimethyl-2,3,6b,12b-tetrahydro-1H,7H-chromeno[6',5':4,5]furo[3,2-c]chromen-10-ol"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_108>	"(−)-phaseolin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_113451>	"sodium ascorbate"	"label"
